id,code,name,short_name,parent,active,version,uuid,created_by,created_date,last_modified_by,last_modified_date
96832,34121,Министерство образования и науки Кыргызской Республики (подведомственные учреждения образования и культуры) ,,96830,true,1,c3ac77bb-0c48-4f7d-bb5f-7bf82b76e26f,import,2023-01-12,import,2023-01-12
96833,34130,Министерство образования и науки Кыргызской Республики (подведомственные учреждения по науке) ,,96830,true,1,b6041b34-3716-40ad-b43a-5a8a4a749db7,import,2023-01-12,import,2023-01-12
1337883,34141,Министерство образования и науки Кыргызской Республики (подведомственные учреждения начального профессионального образования),,96830,true,1,2700cce0-438b-4233-a2d7-9c8a98bd99b2,import,2023-01-12,import,2023-01-12
96836,34911,Министерство образования и науки Кыргызской Республики  (софинансирование ),,96830,true,1,8b12f3ca-7b6f-40b1-a35b-7c0f7148a06c,import,2023-01-12,import,2023-01-12
96837,34921,Министерство образования и науки Кыргызской Республики (грант) ,,96830,true,1,d12ce7b9-1827-46ad-9d5b-d47699b8cb8f,import,2023-01-12,import,2023-01-12
96838,34931,Министерство образования и науки Кыргызской Республики (кредит),,96830,true,1,1ddb4bdc-54a6-4ea4-9436-87b8fa52f521,import,2023-01-12,import,2023-01-12
96839,35,Государственное агентство интеллектуальной собственности и инноваций при Кабинете Министров Кыргызской Республики,,,true,1,5a6dfd9b-0148-44f8-9cce-735521f6a093,import,2023-01-12,import,2023-01-12
96840,35110,Государственное агентство интеллектуальной собственности и инноваций при Кабинете Министров Кыргызской Республики (аппарат),,96839,true,1,dbdfbf72-5b92-4577-af09-14a037f42639,import,2023-01-12,import,2023-01-12
96841,35120,Государственное агентство интеллектуальной собственности и инноваций при Кабинете Министров Кыргызской Республики (подведомственные учреждения),,96839,true,1,61e7f31d-178b-49d8-b77e-91b1079d0102,import,2023-01-12,import,2023-01-12
96842,36,Фонд обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики,,,true,1,062c0ae7-898d-414f-8d1a-470b325bb5a9,import,2023-01-12,import,2023-01-12
96843,36110,Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики (аппарат),,96842,true,1,a6e612cb-6609-4e90-99c3-464cadda67b5,import,2023-01-12,import,2023-01-12
96844,36121,Фонд обязательного медицинского страхования при Министерстве здравоохранени Кыргызской Республики (подведомственные учреждения),,96842,true,1,64ccab3d-aef8-45b9-9996-0368f9e8ae2f,import,2023-01-12,import,2023-01-12
914240,36131,Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики  (мероприятия по борьбе с эпидемиями),,96842,true,1,75d4e3f2-9d42-4cbf-904b-37f9f5c07349,import,2023-01-12,import,2023-01-12
96845,36141,Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики – Единый плательщик (подведомственные учреждения здравоохранения),,96842,true,1,2810840a-9485-48ca-8185-52434f7aa5a8,import,2023-01-12,import,2023-01-12
96846,36210," Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики (государственные программы, мероприятия и выплаты)",,96842,true,1,446bfe59-e765-4aed-a7a1-4b139a61b0bd,import,2023-01-12,import,2023-01-12
96847,36220, Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики (улучшение технического оснащения и внедрение новейших технологий в области медицины),,96842,true,1,de424371-93f3-491a-8220-5448cd79273d,import,2023-01-12,import,2023-01-12
96848,36230, Фонд обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики (информационно-коммуникационное обеспечение и банковское обслуживание системы Единого плательщика),,96842,true,1,4431a94d-16b3-4172-83d4-ed9c5aa37b39,import,2023-01-12,import,2023-01-12
96849,36240,Фонд обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики (изготовление полисов ОМС),,96842,true,1,e0a50c2d-8499-4128-aefa-d4b337b0b90e,import,2023-01-12,import,2023-01-12
96850,36310,Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики (страховой запас),,96842,true,1,eeab79ea-e448-45f0-950c-dea5bcad8e7c,import,2023-01-12,import,2023-01-12
763006,36911,Фонд обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики (софинансирование),,96842,true,1,62bd4a2d-1585-4414-85c0-54ebca98b883,import,2023-01-12,import,2023-01-12
763007,36921,Фонд обязательного медицинского страхования при Министерстве здравоохранения  Кыргызской Республики (грант),,96842,true,1,68f89639-c6be-402c-866f-9bd909da6692,import,2023-01-12,import,2023-01-12
763005,36931,Фонд обязательного медицинского страхования при Министерстве здравоохранения Кыргызской Республики (кредит),,96842,true,1,800ccf62-f523-427b-aee8-fb4370ab7140,import,2023-01-12,import,2023-01-12
96851,37,Министерство здравоохранения Кыргызской Республики,,,true,1,28dc262b-0707-4a78-b7e7-f7c58a7a5273,import,2023-01-12,import,2023-01-12
96852,37110,Министерство здравоохранения Кыргызской Республики (аппарат),,96851,true,1,748a1544-f25a-4946-befd-f9b4041e8bff,import,2023-01-12,import,2023-01-12
96853,37121,Министерство здравоохранения Кыргызской Республики (подведомственные учреждения ),,96851,true,1,68c237bf-d105-468a-be3f-e1dcd92dbba0,import,2023-01-12,import,2023-01-12
914595,37131,Министерство здравоохранения Кыргызской Республики (мероприятия по борьбе с эпидемиями),,96851,true,1,b6a75b4f-0c99-4c5c-a5c3-6d9a018e2eb9,import,2023-01-12,import,2023-01-12
96854,37911,Министерство здравоохранения Кыргызской Республики   (софинансирование ),,96851,true,1,e5c468b5-da92-41b2-85bb-4848c174e750,import,2023-01-12,import,2023-01-12
96855,37921,Министерство здравоохранения Кыргызской Республики (грант),,96851,true,1,de02e292-c2f7-4b95-af40-2bdb896d0e3c,import,2023-01-12,import,2023-01-12
96856,37931,Министерство здравоохранения Кыргызской Республики (кредит),,96851,true,1,cdc68374-0641-4f80-bd20-21f2be8e27e5,import,2023-01-12,import,2023-01-12
96857,38,"Министерство труда, социального обеспечения и миграции Кыргызской Республики",,,true,1,f0802b10-56c9-4076-a191-d8097b956cf1,import,2023-01-12,import,2023-01-12
96858,38110,"Министерство труда, социального обеспечения и миграции Кыргызской Республики (аппарат)",,96857,true,1,6abc9d53-8ccf-41a3-a6d5-7e4e266ec088,import,2023-01-12,import,2023-01-12
96859,38121,"Министерство труда, социального обеспечения и миграции Кыргызской Республики (подведомственные учреждения)",,96857,true,1,b786a76c-85f3-4bd2-8258-94ab10ece3e5,import,2023-01-12,import,2023-01-12
1534419,38220,Центр трудоустройства граждан за рубежом,,96857,true,1,6c1b3bcb-301a-4b78-b3ba-12d1e99a92f7,import,2023-01-12,import,2023-01-12
96860,39,Академия государственного управления при Президенте Кыргызской Республики,,,true,1,266be1f0-c1e0-4e3a-a90a-8b1776cec130,import,2023-01-12,import,2023-01-12
96861,39120,Академия государственного управления при Президенте Кыргызской Республики,,96860,true,1,24076772-0c2d-4fca-9d3b-62fad863d120,import,2023-01-12,import,2023-01-12
96862,40,"Общественное объединение ""Республиканский Совет ветеранов войны, вооруженных сил, правоохранительных органов и труженников тыла Кыргызской Республики""",,,true,1,04ca7bb0-dec3-4308-87b8-018d27b04c3d,import,2023-01-12,import,2023-01-12
96863,40120,"Общественное объединение ""Республиканский Совет ветеранов войны,  вооруженных сил, правоохранительных органов и тружеников тыла Кыргызской Республики""",,96862,true,1,41d4c617-c936-46de-807c-5d5cc1b5234c,import,2023-01-12,import,2023-01-12
96864,41,Министерство сельского хозяйства Кыргызской Республики,,,true,1,6e39c52a-378f-46f0-9453-de0dbdb64da0,import,2023-01-12,import,2023-01-12
96865,41110,Министерство сельского хозяйства Кыргызской Республики (аппарат),,96864,true,1,d199c5fa-7087-495a-9ef7-5fb8bec65605,import,2023-01-12,import,2023-01-12
96866,41121,Министерство сельского хозяйства Кыргызской Республики (подведомственные учреждения),,96864,true,1,c45deb53-4751-4cc6-8d4a-f4f6eb829044,import,2023-01-12,import,2023-01-12
1355889,41131,Министерство сельского хозяйства Кыргызской Республики (Районные управления аграрного развития),,96864,true,1,ab55688c-8692-41b4-a50c-338446db1369,import,2023-01-12,import,2023-01-12
1355901,41210,Служба водных ресурсов при Министерстве сельского хозяйства Кыргызской Республики (аппарат),,96864,true,1,68734211-ef22-4868-b039-1db5bc04f4d0,import,2023-01-12,import,2023-01-12
1355904,41220,Служба водных ресурсов при Министерстве сельского хозяйства Кыргызской Республики (подведомственные учреждения),,96864,true,1,053c9454-c1bd-4efa-9c74-d8411c159928,import,2023-01-12,import,2023-01-12
1355906,41310,Служба земельных ресурсов при Министерстве сельского хозяйства Кыргызской Республики (аппарат),,96864,true,1,a2e48d15-ecef-4303-87cb-36fa18da6d0e,import,2023-01-12,import,2023-01-12
1355907,41320,Государственное учреждение «Кадастр» при Службе земельных ресурсов при Министерстве сельского хозяйства Кыргызской Республики,,96864,true,1,a6e0f4de-cbaf-4634-82bf-87f68eb74377,import,2023-01-12,import,2023-01-12
1355909,41330,Государственное предприятие «Государственный проектный институт по землеустройству «Кыргызгипрозем» при Службе земельных ресурсов при Министерстве сельского хозяйства Кыргызской Республики,,96864,true,1,c4e0517a-79e6-42e2-a63b-29ad29a8ee9e,import,2023-01-12,import,2023-01-12
1355910,41340,Государственное учреждение по геодезии и картографии «Госкартография» при Службе земельных ресурсов при Министерстве сельского хозяйства Кыргызской Республики,,96864,true,1,d245aa65-105a-4174-b430-fd94034457d2,import,2023-01-12,import,2023-01-12
1355913,41510,Лесная служба при Министерстве сельского хозяйства Кыргызской Республики  (аппарат),,96864,true,1,64205406-1453-4080-8f9a-09d2901ea740,import,2023-01-12,import,2023-01-12
1355914,41520,Лесная служба при Министерстве сельского хозяйства Кыргызской Республики  (подведомственные учреждения),,96864,true,1,7fb52f33-2374-41ec-84d8-3303447f63d0,import,2023-01-12,import,2023-01-12
1355915,41610,Ветеринарная служба при Министерстве сельского хозяйства Кыргызской Республики (аппарат) ,,96864,true,1,ff4ca73f-aed5-4515-a7c4-a47109b937f6,import,2023-01-12,import,2023-01-12
1355917,41620,Ветеринарная служба при Министерстве сельского хозяйства Кыргызской Республики (подведомственные учреждения) ,,96864,true,1,0f455588-77b0-4cbd-9d46-fb699797692f,import,2023-01-12,import,2023-01-12
1355919,41710,Служба по земельному и водному надзору при Министерстве сельского хозяйства Кыргызской Республики  (аппарат),,96864,true,1,5094284c-868b-4ac8-b4d4-5b5ab3ca3a93,import,2023-01-12,import,2023-01-12
1355920,41720,Служба по земельному и водному надзору при Министерстве сельского хозяйства Кыргызской Республики  (подведомственные учреждения),,96864,true,1,e19dc244-7ed2-4f60-ac47-c43167e1c0b4,import,2023-01-12,import,2023-01-12
96871,41911,Министерство сельского хозяйства Кыргызской Республики  (софинансирование ),,96864,true,1,8b611788-b5cb-4bf7-916c-f55d45672b6a,import,2023-01-12,import,2023-01-12
96872,41921,Министерство сельского хозяйства Кыргызской Республики  (грант),,96864,true,1,0c97c0d3-7124-45c8-b2df-e01c7fc569da,import,2023-01-12,import,2023-01-12
96873,41931,Министерство сельского хозяйства Кыргызской Республики  (кредит) ,,96864,true,1,088e6c40-ae7e-4580-a87d-5a03f8b24fd0,import,2023-01-12,import,2023-01-12
1810182,42,Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики,,,true,1,1209e5ea-e405-47e0-ad58-215ba5cb4536,import,2023-01-12,import,2023-01-12
1810223,42120,Государственное агентство гражданской авиации при Кабинете Министров Кыргызской Республики,,1810182,true,1,f0c487a9-9cfe-431f-8973-d5a5a7d149f0,import,2023-01-12,import,2023-01-12
1810224,42221,Кыргызский авиационный институт им.И.Абдраимова,,1810182,true,1,2a825f26-a313-4818-928e-0bd9bfc3239c,import,2023-01-12,import,2023-01-12
96874,43,Министерство транспорта и коммуникаций Кыргызской Республики,,,true,1,f958a8cb-6a3b-4da6-acb3-4bd53703286d,import,2023-01-12,import,2023-01-12
